Index,Displacement,Force,Time
523,0.032009,144.611,44.8001060000006
524,0.031859,144.6021,45.0001030000003
525,0.031796,144.5208,45.2000749999997
526,0.032071,144.453,45.399977
527,0.031748,144.4778,45.6000770000001
528,0.031538,144.4918,45.7999749999999
529,0.03189,144.4875,45.9999950000001
530,0.032013,144.4762,46.1999610000003
531,0.031744,144.3745,46.4000390000001
532,0.032039,144.4647,46.599972
533,0.031748,144.4055,46.7999920000002
534,0.031587,144.4665,47.0000230000005
535,0.032053,144.4146,47.2000049999997
536,0.031807,144.2417,47.4000500000002
537,0.031802,144.1769,47.5999739999997
538,0.031925,144.0584,47.7999689999997
539,0.031959,144.0253,47.9999740000003
540,0.031727,144.0501,48.2000440000002
541,0.031817,143.8623,48.3999400000002
542,0.031699,143.9605,48.6000039999999
543,0.031463,143.942,48.7999840000002
544,0.031358,143.8571,48.9999340000004
545,0.03239,143.8694,49.2000829999997
546,0.031707,143.9078,49.3999300000005
547,0.031215,144.0635,49.5999929999998
548,0.031029,143.7585,49.8000309999998
549,0.030564,143.903,50.0000070000006
550,0.030978,143.8978,50.200022
551,0.031939,143.6784,50.3999670000003
552,0.031721,143.8214,50.5999970000003
553,0.031546,143.7538,50.8000300000003
554,0.032043,143.6552,50.9999710000002
555,0.03175,143.6773,51.2000840000001
556,0.031974,143.53,51.4000050000004
557,0.031663,143.5229,51.5999030000003
558,0.031188,143.4623,51.7999850000006
559,0.031225,143.4785,51.9999740000003
560,0.031076,143.4502,52.2000600000001
561,0.030988,143.3604,52.3999320000003
562,0.030896,143.381,52.5999330000004
563,0.031462,143.2235,52.8000000000002
564,0.030951,143.2048,52.9999640000005
565,0.030547,143.193,53.2000159999998
566,0.03086,143.1823,53.4000000000005
567,0.03098,143.1191,53.599972
568,0.031809,143.0892,53.7999930000005
569,0.031788,142.9906,53.9999690000004
570,0.03143,143.162,54.2000669999998
571,0.031214,143.1019,54.3999910000002
572,0.031118,142.9499,54.6000240000003
573,0.031473,142.9758,54.7999950000003
574,0.032774,142.8621,54.9999429999998
575,0.031924,142.6865,55.2000589999998
576,0.030488,142.6754,55.3999329999997
577,0.031859,142.5989,55.6000800000002
578,0.032331,142.5667,55.8000099999999
579,0.034044,142.426,55.9999299999999
580,0.032095,142.5358,56.2001
581,0.032127,142.4275,56.4000150000002
582,0.031325,142.4433,56.5999550000006
583,0.032038,142.5396,56.8000220000004
584,0.031718,142.3598,57.0000369999998
585,0.03195,142.3009,57.1999720000003
