Count,Filename_0_1,Filename_0_0,Time_0_1,Time_0_0,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,force,PIP,Dev1/ai2_scaled,Dev1/ai3_scaled,Dev1/ai4_scaled,Dev1/ai5_scaled,Dev1/ai6_scaled,Dev1/ai7_scaled
34,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000034_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000034_0.tif,4114.891517,4114.891801,0.001186,0.000317,0.000200,0.000857,-0.021492,-0.001772,-0.002430,-0.004730,0.001186,0.000317,0.000200,0.000857,-0.021492,-0.001772,-0.002430,-0.004730
35,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000035_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000035_0.tif,4116.491357,4116.491669,0.001514,0.001303,0.002172,0.002172,-0.017876,0.001514,0.000200,-0.001115,0.001514,0.001303,0.002172,0.002172,-0.017876,0.001514,0.000200,-0.001115
36,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000036_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000036_0.tif,4118.091374,4118.091653,0.001843,0.002125,0.001186,0.001186,-0.020177,-0.001444,-0.002758,-0.004402,0.001843,0.002125,0.001186,0.001186,-0.020177,-0.001444,-0.002758,-0.004402
37,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000037_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000037_0.tif,4119.691308,4119.691662,0.001514,-0.002478,-0.000786,0.000200,-0.018862,0.001186,0.000200,-0.000129,0.001514,-0.002478,-0.000786,0.000200,-0.018862,0.001186,0.000200,-0.000129
38,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000038_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000038_0.tif,4121.291310,4121.291674,0.001514,0.001961,0.003158,0.004472,-0.015905,0.003815,0.001843,0.000857,0.001514,0.001961,0.003158,0.004472,-0.015905,0.003815,0.001843,0.000857
39,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000039_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000039_0.tif,4122.891385,4122.891651,0.001843,0.001961,0.002172,0.002500,-0.016890,0.002829,0.002500,0.001186,0.001843,0.001961,0.002172,0.002500,-0.016890,0.002829,0.002500,0.001186
40,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000040_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000040_0.tif,4124.491354,4124.491597,0.001843,0.002290,0.002172,0.001843,-0.017219,0.002829,0.001843,0.001514,0.001843,0.002290,0.002172,0.001843,-0.017219,0.002829,0.001843,0.001514
41,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000041_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000041_0.tif,4126.291269,4126.291653,0.001514,0.001961,0.004143,0.005129,-0.013604,0.006444,0.005787,0.004472,0.001514,0.001961,0.004143,0.005129,-0.013604,0.006444,0.005787,0.004472
42,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000042_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000042_0.tif,4128.291288,4128.291580,0.001514,0.002454,0.002500,0.003158,-0.017219,0.002172,0.001514,0.000200,0.001514,0.002454,0.002500,0.003158,-0.017219,0.002172,0.001514,0.000200
43,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000043_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000043_0.tif,4130.491380,4130.491626,0.002172,0.006729,0.006444,0.005787,-0.014261,0.005129,0.003486,0.002500,0.002172,0.006729,0.006444,0.005787,-0.014261,0.005129,0.003486,0.002500
44,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000044_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000044_0.tif,4134.491348,4134.491582,0.001514,0.001139,0.002500,0.003158,-0.015247,0.005129,0.004472,0.004801,0.001514,0.001139,0.002500,0.003158,-0.015247,0.005129,0.004472,0.004801
45,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000045_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000045_0.tif,4136.491374,4136.491607,0.001514,0.002290,0.002829,0.003158,-0.015247,0.005458,0.004801,0.005129,0.001514,0.002290,0.002829,0.003158,-0.015247,0.005458,0.004801,0.005129
46,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000046_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000046_0.tif,4138.291302,4138.291601,0.001186,0.001468,0.003158,0.004143,-0.015576,0.004801,0.003486,0.003486,0.001186,0.001468,0.003158,0.004143,-0.015576,0.004801,0.003486,0.003486
47,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000047_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000047_0.tif,4140.291291,4140.291713,0.001843,-0.001821,0.001186,0.002829,-0.015247,0.005129,0.004472,0.004143,0.001843,-0.001821,0.001186,0.002829,-0.015247,0.005129,0.004472,0.004143
48,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000048_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000048_0.tif,4142.091389,4142.091638,0.001514,0.001303,0.002172,0.002500,-0.015905,0.004143,0.003158,0.003158,0.001514,0.001303,0.002172,0.002500,-0.015905,0.004143,0.003158,0.003158
49,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000049_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000049_0.tif,4143.891396,4143.891728,0.001186,0.002619,0.004143,0.004801,-0.013275,0.007101,0.006773,0.006115,0.001186,0.002619,0.004143,0.004801,-0.013275,0.007101,0.006773,0.006115
50,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000050_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000050_0.tif,4145.691314,4145.691676,0.001514,0.001796,0.002500,0.002829,-0.015905,0.003486,0.002829,0.002172,0.001514,0.001796,0.002500,0.002829,-0.015905,0.003486,0.002829,0.002172
51,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000051_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000051_0.tif,4148.691320,4148.691629,0.001843,0.003441,0.006444,0.008087,-0.009331,0.011374,0.010059,0.009073,0.001843,0.003441,0.006444,0.008087,-0.009331,0.011374,0.010059,0.009073
52,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000052_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000052_0.tif,4150.491608,4150.491864,0.001186,0.001303,0.003158,0.004801,-0.012618,0.009073,0.009073,0.009731,0.001186,0.001303,0.003158,0.004801,-0.012618,0.009073,0.009073,0.009731
53,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000053_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000053_0.tif,4152.691342,4152.691697,0.001514,0.001961,0.003815,0.005129,-0.012947,0.008416,0.008745,0.008087,0.001514,0.001961,0.003815,0.005129,-0.012947,0.008416,0.008745,0.008087
54,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000054_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000054_0.tif,4154.291377,4154.291788,0.001843,0.002619,0.003486,0.005129,-0.012618,0.008416,0.008087,0.007759,0.001843,0.002619,0.003486,0.005129,-0.012618,0.008416,0.008087,0.007759
55,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000055_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000055_0.tif,4156.091353,4156.091714,0.001843,0.002290,0.004143,0.005129,-0.012947,0.008416,0.008745,0.008416,0.001843,0.002290,0.004143,0.005129,-0.012947,0.008416,0.008745,0.008416
56,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000056_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000056_0.tif,4157.891402,4157.891676,0.002172,0.001632,0.004143,0.005787,-0.011961,0.009073,0.009402,0.009073,0.002172,0.001632,0.004143,0.005787,-0.011961,0.009073,0.009402,0.009073
57,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000057_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000057_0.tif,4159.491379,4159.491695,0.001514,-0.000505,0.002172,0.005787,-0.011303,0.011045,0.011374,0.010717,0.001514,-0.000505,0.002172,0.005787,-0.011303,0.011045,0.011374,0.010717
58,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000058_1.tif,F:/DATA/METALS/Sample 23/Specimen 4\s23-4-cal-00000058_0.tif,4161.291314,4161.291750,0.001514,-0.001163,0.000857,0.003486,-0.013933,0.009402,0.010059,0.010059,0.001514,-0.001163,0.000857,0.003486,-0.013933,0.009402,0.010059,0.010059
