"E0",,,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
176,0.00404332,0.141516,35.1414,34.9999
177,0.00404561,0.141596,35.1415,34.9999
178,0.00402368,0.140829,35.1408,34.9999
179,0.00401966,0.140688,35.1406,34.9999
180,0.00399651,0.139878,35.1398,34.9999
181,0.00399583,0.139854,35.1398,34.9999
182,0.00397639,0.139173,35.1391,34.9999
183,0.00396043,0.138615,35.1385,34.9999
184,0.00393572,0.13775,35.1377,34.9999
185,0.00398153,0.139353,35.1393,34.9999
186,0.00394921,0.138222,35.1382,34.9999
187,0.00394151,0.137952,35.1379,34.9999
188,0.00393405,0.137691,35.1376,34.9999
189,0.00391539,0.137038,35.137,34.9999
190,0.00387467,0.135613,35.1355,34.9999
191,0.00386715,0.13535,35.1353,34.9999
192,0.00388813,0.136084,35.136,34.9999
193,0.00388022,0.135808,35.1357,34.9999
194,0.00388221,0.135877,35.1358,34.9999
195,0.00385443,0.134905,35.1348,34.9999
196,0.00385292,0.134852,35.1348,34.9999
197,0.00385352,0.134873,35.1348,34.9999
198,0.00380814,0.133284,35.1332,34.9999
199,0.00384864,0.134702,35.1346,34.9999
200,0.00380914,0.13332,35.1332,34.9999
201,0.00379513,0.132829,35.1328,34.9999
202,0.00418355,0.146424,35.1464,34.9999
203,0.004154,0.14539,35.1453,34.9999
204,0.00417618,0.146166,35.1461,34.9999
205,0.0041611,0.145638,35.1456,34.9999
206,0.00414083,0.144929,35.1449,34.9999
207,0.00414825,0.145189,35.1451,34.9999
208,0.00412316,0.14431,35.1442,34.9999
209,0.00410165,0.143557,35.1435,34.9999
210,0.00412687,0.14444,35.1444,34.9999
211,0.00407661,0.142681,35.1426,34.9999
212,0.00407869,0.142754,35.1427,34.9999
213,0.00410011,0.143504,35.1434,34.9999
214,0.0040942,0.143297,35.1432,34.9999
215,0.00406572,0.1423,35.1422,34.9999
216,0.00405302,0.141856,35.1418,34.9999
217,0.00406179,0.142162,35.1421,34.9999
218,0.00405591,0.141956,35.1419,34.9999
219,0.00402804,0.140981,35.1409,34.9999
220,0.00401578,0.140552,35.1405,34.9999
221,0.00400191,0.140067,35.14,34.9999
222,0.00399257,0.13974,35.1397,34.9999
223,0.00397136,0.138997,35.1389,34.9999
224,0.00398071,0.139325,35.1393,34.9999
225,0.00393895,0.137863,35.1378,34.9999
226,0.00392693,0.137442,35.1374,34.9999
227,0.00397078,0.138977,35.1389,34.9999
228,0.00390618,0.136716,35.1366,34.9999
229,0.00394378,0.138032,35.138,34.9999
230,0.00389501,0.136325,35.1363,34.9999
231,0.00391404,0.136991,35.1369,34.9999
232,0.0038784,0.135744,35.1357,34.9999
233,0.00387786,0.135725,35.1357,34.9999
234,0.00388962,0.136136,35.1361,34.9999
235,0.0038666,0.135331,35.1353,34.9999
236,0.00391448,0.137007,35.1369,34.9999
237,0.0038657,0.135299,35.1352,34.9999
238,0.00379648,0.132876,35.1328,34.9999
239,0.00384232,0.134481,35.1344,34.9999
240,0.00383936,0.134377,35.1343,34.9999
241,0.00377744,0.13221,35.1321,34.9999
242,0.00378305,0.132406,35.1323,34.9999
243,0.00382161,0.133756,35.1337,34.9999
244,0.00380476,0.133166,35.1331,34.9999
245,0.00380477,0.133167,35.1331,34.9999
246,0.00379708,0.132897,35.1328,34.9999
247,0.00377479,0.132117,35.132,34.9999
248,0.00384666,0.134633,35.1346,34.9999
249,0.00376881,0.131908,35.1318,34.9999
250,0.00374126,0.130944,35.1309,34.9999
251,0.00370463,0.129662,35.1296,34.9999
252,0.00371276,0.129946,35.1299,34.9999
253,0.00371772,0.13012,35.1301,34.9999
254,0.00372294,0.130303,35.1302,34.9999
255,0.00367873,0.128755,35.1287,34.9999
256,0.00373695,0.130793,35.1307,34.9999
257,0.00367165,0.128508,35.1284,34.9999
258,0.00370872,0.129805,35.1297,34.9999
259,0.00409183,0.143214,35.1431,34.9999
260,0.00407619,0.142666,35.1426,34.9999
261,0.00406713,0.142349,35.1423,34.9999
262,0.00403243,0.141135,35.1411,34.9999
263,0.00399453,0.139808,35.1397,34.9999
264,0.00400781,0.140273,35.1402,34.9999
265,0.00402761,0.140966,35.1409,34.9999
266,0.00400976,0.140341,35.1403,34.9999
267,0.00400726,0.140254,35.1402,34.9999
268,0.00400068,0.140024,35.14,34.9999
269,0.00398159,0.139355,35.1393,34.9999
270,0.0039397,0.137889,35.1378,34.9999
271,0.00394297,0.138003,35.1379,34.9999
272,0.00398578,0.139502,35.1394,34.9999
273,0.00394945,0.138231,35.1382,34.9999
274,0.00392427,0.137349,35.1373,34.9999
275,0.00394862,0.138201,35.1381,34.9999
276,0.00392998,0.137549,35.1375,34.9999
277,0.00391501,0.137025,35.137,34.9999
278,0.00394407,0.138042,35.138,34.9999
279,0.00388532,0.135986,35.1359,34.9999
280,0.00389553,0.136343,35.1363,34.9999
281,0.00387272,0.135545,35.1355,34.9999
282,0.00387812,0.135734,35.1357,34.9999
283,0.0038832,0.135912,35.1358,34.9999
284,0.00388731,0.136055,35.136,34.9999
285,0.00387997,0.135799,35.1357,34.9999
286,0.00389466,0.136313,35.1362,34.9999
287,0.00388467,0.135963,35.1359,34.9999
288,0.00388168,0.135859,35.1358,34.9999
289,0.0038663,0.13532,35.1353,34.9999
290,0.00386918,0.135421,35.1353,34.9999
291,0.00388102,0.135835,35.1358,34.9999
292,0.00388929,0.136125,35.1361,34.9999
293,0.00386367,0.135228,35.1352,34.9999
294,0.00386045,0.135116,35.135,34.9999
295,0.00386786,0.135375,35.1353,34.9999
296,0.0038646,0.135261,35.1352,34.9999
297,0.00386514,0.13528,35.1352,34.9999
298,0.00387117,0.135491,35.1354,34.9999
299,0.00387151,0.135502,35.1354,34.9999
300,0.00388182,0.135864,35.1358,34.9999
301,0.0038697,0.135439,35.1354,34.9999
302,0.00389403,0.136291,35.1362,34.9999
303,0.00388147,0.135851,35.1358,34.9999
304,0.00389077,0.136177,35.1361,34.9999
305,0.00387165,0.135508,35.1354,34.9999
306,0.0038878,0.136073,35.136,34.9999
307,0.00385626,0.134969,35.1349,34.9999
308,0.00386183,0.135164,35.1351,34.9999
309,0.00382709,0.133948,35.1339,34.9999
310,0.00385484,0.134919,35.1348,34.9999
311,0.00387474,0.135616,35.1355,34.9999
312,0.0038525,0.134837,35.1348,34.9999
313,0.00382651,0.133928,35.1339,34.9999
314,0.0038685,0.135397,35.1353,34.9999
315,0.00387539,0.135638,35.1356,34.9999
316,0.00389878,0.136457,35.1364,34.9999
317,0.00388228,0.13588,35.1358,34.9999
318,0.00385278,0.134847,35.1348,34.9999
319,0.00387623,0.135668,35.1356,34.9999
320,0.00387764,0.135717,35.1356,34.9999
321,0.00385474,0.134916,35.1348,34.9999
322,0.00385828,0.13504,35.135,34.9999
